x,y,yaw,speed
7.4944,8.6200,3.1416,3.50
7.3939,8.6200,3.1416,3.50
7.2934,8.6200,3.1416,3.50
7.1930,8.6200,3.1416,3.50
7.0925,8.6200,3.1416,3.50
6.9920,8.6200,3.1416,3.50
6.8915,8.6200,3.1416,3.50
6.7911,8.6200,3.1416,3.50
6.6906,8.6200,3.1416,3.50
6.5901,8.6200,3.1416,3.50
6.4897,8.6200,3.1416,3.50
6.3892,8.6200,3.1416,3.50
6.2887,8.6200,3.1416,3.50
6.1883,8.6200,3.1416,3.50
6.0878,8.6200,3.1416,3.50
5.9873,8.6200,3.1416,3.50
5.8869,8.6200,3.1416,3.50
5.7864,8.6200,3.1416,3.50
5.6859,8.6200,3.1416,3.50
5.5854,8.6200,3.1416,3.50
5.4850,8.6200,3.1416,3.50
5.3845,8.6200,3.1416,3.50
5.2840,8.6200,3.1416,3.50
5.1836,8.6200,3.1416,3.50
5.0831,8.6200,3.1416,3.50
4.9826,8.6200,3.1416,3.50
4.8822,8.6200,3.1416,3.50
4.7817,8.6200,3.1416,3.50
4.6812,8.6200,3.1416,3.50
4.5808,8.6200,3.1416,3.50
4.4803,8.6200,3.1416,3.50
4.3798,8.6200,3.1416,3.50
4.2793,8.6200,3.1416,3.50
4.1789,8.6200,3.1416,3.50
4.0784,8.6200,3.1416,3.50
3.9779,8.6200,3.1416,3.50
3.8775,8.6200,3.1416,3.50
3.7770,8.6200,3.1416,3.50
3.6765,8.6200,3.1416,3.50
3.5761,8.6200,3.1416,3.50
3.4756,8.6200,3.1416,3.50
3.3751,8.6200,3.1416,3.50
3.2746,8.6200,3.1416,3.50
3.1742,8.6200,3.1416,3.50
3.0737,8.6200,3.1416,3.50
2.9732,8.6200,3.1416,3.50
2.8728,8.6200,3.1416,3.50
2.7723,8.6200,3.1416,3.50
2.6718,8.6200,3.1416,3.50
2.5714,8.6200,3.1416,3.50
2.4709,8.6200,3.1416,3.50
2.3704,8.6200,3.1416,3.50
2.2700,8.6200,3.1416,3.50
2.1695,8.6200,3.1416,3.50
2.0690,8.6200,3.1416,3.50
1.9685,8.6200,3.1416,3.50
1.8681,8.6200,3.1416,3.50
1.7676,8.6200,3.1416,3.50
1.6671,8.6200,3.1416,3.50
1.5667,8.6200,3.1416,3.50
1.4662,8.6200,3.1416,3.50
1.3657,8.6200,3.1416,3.50
1.2653,8.6200,3.1416,3.50
1.1648,8.6200,3.1416,3.50
1.0643,8.6200,3.1416,3.50
0.9638,8.6200,3.1416,3.50
0.8634,8.6200,3.1416,3.50
0.7629,8.6200,3.1416,3.50
0.6624,8.6200,3.1416,3.50
0.5620,8.6200,3.1416,3.50
0.4615,8.6200,3.1416,3.50
0.3610,8.6200,3.1416,3.50
0.2606,8.6200,3.1416,3.50
0.1601,8.6200,3.1416,3.50
0.0596,8.6200,3.1416,3.50
-0.0408,8.6200,3.1416,3.50
-0.1413,8.6200,3.1416,3.50
-0.2418,8.6200,3.1416,3.50
-0.3423,8.6200,3.1416,3.50
-0.4427,8.6200,3.1416,3.50
-0.5432,8.6200,3.1416,3.50
-0.6437,8.6200,3.1416,3.50
-0.7441,8.6200,3.1416,3.50
-0.8446,8.6200,3.1416,3.50
-0.9451,8.6200,3.1416,3.50
-1.0455,8.6200,3.1416,3.50
-1.1460,8.6200,3.1416,3.50
-1.2465,8.6200,3.1416,3.50
-1.3469,8.6200,3.1416,3.50
-1.4474,8.6200,3.1416,3.50
-1.5479,8.6200,3.1416,3.50
-1.6484,8.6200,3.1416,3.50
-1.7488,8.6200,3.1416,3.50
-1.8493,8.6200,3.1416,3.50
-1.9498,8.6200,3.1416,3.50
-2.0502,8.6200,3.1416,3.50
-2.1507,8.6200,3.1416,3.50
-2.2512,8.6200,3.1416,3.50
-2.3516,8.6200,3.1416,3.50
-2.4521,8.6200,3.1416,3.50
-2.5526,8.6200,3.1416,3.50
-2.6531,8.6200,3.1416,3.50
-2.7535,8.6200,3.1416,3.50
-2.8540,8.6200,3.1416,3.50
-2.9545,8.6200,3.1416,3.50
-3.0549,8.6200,3.1416,3.50
-3.1554,8.6200,3.1416,3.50
-3.2559,8.6200,3.1416,3.50
-3.3563,8.6200,3.1416,3.50
-3.4568,8.6200,3.1416,3.50
-3.5573,8.6200,3.1416,3.50
-3.6577,8.6200,3.1416,3.50
-3.7582,8.6200,3.1416,3.50
-3.8587,8.6200,3.1416,3.50
-3.9592,8.6200,3.1416,3.50
-4.0596,8.6200,3.1416,3.50
-4.1601,8.6200,3.1416,3.50
-4.2606,8.6200,3.1416,3.50
-4.3610,8.6200,3.1416,3.50
-4.4615,8.6200,3.1416,3.50
-4.5620,8.6200,3.1416,3.50
-4.6624,8.6200,3.1416,3.50
-4.7629,8.6200,3.1416,3.50
-4.8634,8.6200,3.1416,3.50
-4.9638,8.6200,3.1416,3.50
-5.0643,8.6200,3.1416,3.50
-5.1648,8.6200,3.1416,3.50
-5.2653,8.6200,3.1416,3.50
-5.3657,8.6200,3.1416,3.50
-5.4662,8.6200,3.1416,3.50
-5.5667,8.6200,3.1416,3.50
-5.6671,8.6200,3.1416,3.50
-5.7676,8.6200,3.1416,3.50
-5.8681,8.6200,3.1416,3.50
-5.9685,8.6200,3.1416,3.50
-6.0690,8.6200,3.1416,3.50
-6.1695,8.6200,3.1416,3.50
-6.2700,8.6200,3.1416,3.50
-6.3704,8.6200,3.1416,3.50
-6.4709,8.6200,3.1416,3.50
-6.5714,8.6200,3.1416,3.50
-6.6718,8.6200,3.1416,3.50
-6.7723,8.6200,3.1416,3.50
-6.8728,8.6200,3.1416,3.50
-6.9732,8.6200,3.1416,3.50
-7.0737,8.6200,3.1416,3.50
-7.1742,8.6200,3.1416,3.50
-7.2746,8.6200,3.1416,3.50
-7.3751,8.6200,3.1416,3.50
-7.4756,8.6200,3.1416,3.50
-7.5761,8.6200,3.1416,3.50
-7.6765,8.6200,3.1416,3.50
-7.7770,8.6200,3.1416,3.50
-7.8775,8.6200,3.1416,3.50
-7.9779,8.6200,3.1416,3.50
-8.0784,8.6200,3.1416,3.50
-8.1789,8.6200,3.1416,3.50
-8.2793,8.6200,3.1416,3.50
-8.3798,8.6200,3.1416,3.50
-8.4803,8.6200,3.1416,3.50
-8.5808,8.6200,3.1416,3.50
-8.6812,8.6200,3.1416,3.50
-8.7817,8.6200,3.1416,3.50
-8.8822,8.6200,3.1416,3.50
-8.9826,8.6200,3.1416,3.50
-9.0831,8.6200,3.1416,3.50
-9.1836,8.6200,3.1416,3.50
-9.2840,8.6200,3.1416,3.50
-9.3845,8.6200,3.1416,3.50
-9.4850,8.6200,3.1416,3.50
-9.5854,8.6200,3.1416,3.50
-9.6859,8.6200,3.1416,3.50
-9.7864,8.6200,3.1416,3.50
-9.8869,8.6200,3.1416,3.50
-9.9873,8.6200,3.1416,3.50
-10.0878,8.6200,3.1416,3.50
-10.1883,8.6200,3.1416,3.50
-10.2887,8.6200,3.1416,3.50
-10.3892,8.6200,3.1416,3.50
-10.4897,8.6200,3.1416,3.50
-10.5901,8.6200,3.1416,3.50
-10.6906,8.6200,3.1416,3.50
-10.7911,8.6200,3.1416,3.50
-10.8915,8.6200,3.1416,3.50
-10.9920,8.6200,3.1416,3.50
-11.0925,8.6200,3.1416,3.50
-11.1930,8.6200,3.1416,3.50
-11.2934,8.6200,3.1416,3.50
-11.3939,8.6200,3.1416,3.50
-11.4944,8.6200,3.1416,3.50
-11.5948,8.6200,3.1416,3.50
-11.6953,8.6200,3.1416,3.50
-11.7958,8.6200,3.1416,3.50
-11.8962,8.6200,3.1416,3.50
-11.9967,8.6200,3.1416,3.50
-12.0972,8.6200,3.1416,3.50
-12.1977,8.6200,3.1416,3.50
-12.2981,8.6200,3.1416,3.50
-12.3986,8.6200,3.1416,3.50
-12.4991,8.6200,3.1416,3.50
-12.5995,8.6200,3.1416,3.50
-12.7000,8.6200,-3.0892,1.80
-12.8045,8.6145,-2.9845,1.80
-12.9079,8.5981,-2.8798,1.80
-13.0090,8.5711,-2.7751,1.80
-13.1067,8.5335,-2.6704,1.80
-13.2000,8.4860,-2.5656,1.80
-13.2878,8.4290,-2.4609,1.80
-13.3691,8.3631,-2.3562,1.80
-13.4431,8.2891,-2.2515,1.80
-13.5090,8.2078,-2.1468,1.80
-13.5660,8.1200,-2.0420,1.80
-13.6135,8.0267,-1.9373,1.80
-13.6511,7.9290,-1.8326,1.80
-13.6781,7.8279,-1.7279,1.80
-13.6945,7.7245,-1.6232,1.80
-13.7000,7.6200,-1.5708,3.50
-13.7000,7.5187,-1.5708,3.50
-13.7000,7.4173,-1.5708,3.50
-13.7000,7.3160,-1.5708,3.50
-13.7000,7.2146,-1.5708,3.50
-13.7000,7.1133,-1.5708,3.50
-13.7000,7.0119,-1.5708,3.50
-13.7000,6.9106,-1.5708,3.50
-13.7000,6.8093,-1.5708,3.50
-13.7000,6.7079,-1.5708,3.50
-13.7000,6.6066,-1.5708,3.50
-13.7000,6.5052,-1.5708,3.50
-13.7000,6.4039,-1.5708,3.50
-13.7000,6.3025,-1.5708,3.50
-13.7000,6.2012,-1.5708,3.50
-13.7000,6.0999,-1.5708,3.50
-13.7000,5.9985,-1.5708,3.50
-13.7000,5.8972,-1.5708,3.50
-13.7000,5.7958,-1.5708,3.50
-13.7000,5.6945,-1.5708,3.50
-13.7000,5.5931,-1.5708,3.50
-13.7000,5.4918,-1.5708,3.50
-13.7000,5.3904,-1.5708,3.50
-13.7000,5.2891,-1.5708,3.50
-13.7000,5.1878,-1.5708,3.50
-13.7000,5.0864,-1.5708,3.50
-13.7000,4.9851,-1.5708,3.50
-13.7000,4.8837,-1.5708,3.50
-13.7000,4.7824,-1.5708,3.50
-13.7000,4.6810,-1.5708,3.50
-13.7000,4.5797,-1.5708,3.50
-13.7000,4.4784,-1.5708,3.50
-13.7000,4.3770,-1.5708,3.50
-13.7000,4.2757,-1.5708,3.50
-13.7000,4.1743,-1.5708,3.50
-13.7000,4.0730,-1.5708,3.50
-13.7000,3.9716,-1.5708,3.50
-13.7000,3.8703,-1.5708,3.50
-13.7000,3.7690,-1.5708,3.50
-13.7000,3.6676,-1.5708,3.50
-13.7000,3.5663,-1.5708,3.50
-13.7000,3.4649,-1.5708,3.50
-13.7000,3.3636,-1.5708,3.50
-13.7000,3.2622,-1.5708,3.50
-13.7000,3.1609,-1.5708,3.50
-13.7000,3.0596,-1.5708,3.50
-13.7000,2.9582,-1.5708,3.50
-13.7000,2.8569,-1.5708,3.50
-13.7000,2.7555,-1.5708,3.50
-13.7000,2.6542,-1.5708,3.50
-13.7000,2.5528,-1.5708,3.50
-13.7000,2.4515,-1.5708,3.50
-13.7000,2.3501,-1.5708,3.50
-13.7000,2.2488,-1.5708,3.50
-13.7000,2.1475,-1.5708,3.50
-13.7000,2.0461,-1.5708,3.50
-13.7000,1.9448,-1.5708,3.50
-13.7000,1.8434,-1.5708,3.50
-13.7000,1.7421,-1.5708,3.50
-13.7000,1.6407,-1.5708,3.50
-13.7000,1.5394,-1.5708,3.50
-13.7000,1.4381,-1.5708,3.50
-13.7000,1.3367,-1.5708,3.50
-13.7000,1.2354,-1.5708,3.50
-13.7000,1.1340,-1.5708,3.50
-13.7000,1.0327,-1.5708,3.50
-13.7000,0.9313,-1.5708,3.50
-13.7000,0.8300,-1.5184,1.80
-13.6945,0.7255,-1.4137,1.80
-13.6781,0.6221,-1.3090,1.80
-13.6511,0.5210,-1.2043,1.80
-13.6135,0.4233,-1.0996,1.80
-13.5660,0.3300,-0.9948,1.80
-13.5090,0.2422,-0.8901,1.80
-13.4431,0.1609,-0.7854,1.80
-13.3691,0.0869,-0.6807,1.80
-13.2878,0.0210,-0.5760,1.80
-13.2000,-0.0360,-0.4712,1.80
-13.1067,-0.0835,-0.3665,1.80
-13.0090,-0.1211,-0.2618,1.80
-12.9079,-0.1481,-0.1571,1.80
-12.8045,-0.1645,-0.0524,1.80
-12.7000,-0.1700,0.0000,3.50
-12.5992,-0.1700,0.0000,3.50
-12.4984,-0.1700,0.0000,3.50
-12.3976,-0.1700,0.0000,3.50
-12.2968,-0.1700,0.0000,3.50
-12.1960,-0.1700,0.0000,3.50
-12.0952,-0.1700,0.0000,3.50
-11.9944,-0.1700,0.0000,3.50
-11.8937,-0.1700,0.0000,3.50
-11.7929,-0.1700,0.0000,3.50
-11.6921,-0.1700,0.0000,3.50
-11.5913,-0.1700,0.0000,3.50
-11.4905,-0.1700,0.0000,3.50
-11.3897,-0.1700,0.0000,3.50
-11.2889,-0.1700,0.0000,3.50
-11.1881,-0.1700,0.0000,3.50
-11.0873,-0.1700,0.0000,3.50
-10.9865,-0.1700,0.0000,3.50
-10.8857,-0.1700,0.0000,3.50
-10.7849,-0.1700,0.0000,3.50
-10.6841,-0.1700,0.0000,3.50
-10.5833,-0.1700,0.0000,3.50
-10.4825,-0.1700,0.0000,3.50
-10.3817,-0.1700,0.0000,3.50
-10.2810,-0.1700,0.0000,3.50
-10.1802,-0.1700,0.0000,3.50
-10.0794,-0.1700,0.0000,3.50
-9.9786,-0.1700,0.0000,3.50
-9.8778,-0.1700,0.0000,3.50
-9.7770,-0.1700,0.0000,3.50
-9.6762,-0.1700,0.0000,3.50
-9.5754,-0.1700,0.0000,3.50
-9.4746,-0.1700,0.0000,3.50
-9.3738,-0.1700,0.0000,3.50
-9.2730,-0.1700,0.0000,3.50
-9.1722,-0.1700,0.0000,3.50
-9.0714,-0.1700,0.0000,3.50
-8.9706,-0.1700,0.0000,3.50
-8.8698,-0.1700,0.0000,3.50
-8.7690,-0.1700,0.0000,3.50
-8.6683,-0.1700,0.0000,3.50
-8.5675,-0.1700,0.0000,3.50
-8.4667,-0.1700,0.0000,3.50
-8.3659,-0.1700,0.0000,3.50
-8.2651,-0.1700,0.0000,3.50
-8.1643,-0.1700,0.0000,3.50
-8.0635,-0.1700,0.0000,3.50
